Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Exodus,Theater,01/24/2011,Day 1,19:00,20:00,Show, , , 
Arsis,Lounge,01/24/2011,Day 1,19:00,19:45,Show, , , 
Nevermore,Pool,01/24/2011,Day 1,20:00,21:00,Show, , , 
Gamma Ray,Theater,01/24/2011,Day 1,21:00,22:00,Show, , , 
Destruction,Lounge,01/24/2011,Day 1,20:30,21:15,Show, , , 
Sonata Arctica,Pool,01/24/2011,Day 1,22:00,23:00,Show, , , 
Marduk,Lounge,01/24/2011,Day 1,22:00,23:00,Show, , , 
Blind Guardian,Theater,01/24/2011,Day 1,23:00,00:30,Show, , , 
Fear Factory,Pool,01/25/2011,Day 1,00:30,01:30,Show, , , 
Uli Jon Roth,Lounge,01/25/2011,Day 1,00:30,01:30,Show, , , 
Karaoke,Boleros Lounge,01/25/2011,Day 1,00:00,04:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Open Mic Night,Lounge,01/25/2011,Day 1,03:30,06:00,Special Event, ,, 
Dusk Machine,Theater,01/25/2011,Day 2,10:45,11:30,Show, , , 
Trouble,Theater,01/25/2011,Day 2,12:15,13:00,Show, , , 
Sabaton,Theater,01/25/2011,Day 2,13:45,14:45,Show, , , 
Rage,Theater,01/25/2011,Day 2,15:30,16:30,Show, , , 
Moonspell,Theater,01/25/2011,Day 2,17:15,18:15,Show, , , 
Iced Earth,Theater,01/25/2011,Day 2,19:00,20:00,Show, , , 
Amon Amarth,Theater,01/25/2011,Day 2,20:45,22:00,Show, , , 
Saxon,Theater,01/25/2011,Day 2,23:00,00:30,Show, , , 
Korpiklaani,Theater,01/26/2011,Day 2,01:30,02:30,Show, , , 
Raven,Theater,01/26/2011,Day 2,03:15,04:00,Show, , , 
Cripper,Pool,01/25/2011,Day 2,10:00,10:45,Show, , , 
Agent Steel,Pool,01/25/2011,Day 2,11:30,12:15,Show, , , 
TYR,Pool,01/25/2011,Day 2,13:00,13:45,Show, , , 
Ensiferum,Pool,01/25/2011,Day 2,14:45,15:45,Show, , , 
Forbidden,Pool,01/25/2011,Day 2,16:30,17:30,Show, , , 
Obituary,Pool,01/25/2011,Day 2,18:15,19:15,Show, , , 
Epica,Pool,01/25/2011,Day 2,20:00,21:00,Show, , , 
Dark Tranquillity,Pool,01/25/2011,Day 2,22:00,23:00,Show, , , 
Testamnet,Pool,01/26/2011,Day 2,00:30,01:45,Show, , , 
Sodom,Pool,01/26/2011,Day 2,02:30,03:30,Show, , , 
The Absence,Lounge,01/25/2011,Day 2,13:00,13:45,Show, , , 
Circle II Circle,Lounge,01/25/2011,Day 2,14:45,15:30,Show, , , 
Swashbuckle,Lounge,01/25/2011,Day 2,16:30,17:15,Show, , , 
Voivod,Lounge,01/25/2011,Day 2,18:15,19:00,Show, , , 
Sanctuary,Lounge,01/25/2011,Day 2,20:00,20:45,Show, , , 
Death Angel,Lounge,01/25/2011,Day 2,22:00,23:00,Show, , , 
Twilight Of The Gods,Lounge,01/26/2011,Day 2,00:30,01:30,Show, , , 
Blackguard,Lounge,01/26/2011,Day 2,02:30,03:15,Show, , , 
Exodus,Boleros Lounge,01/25/2011,Day 2,12:00,12:25,Meet and Greet, , , 
Testamnet,Boleros Lounge,01/25/2011,Day 2,12:25,12:50,Meet and Greet, , , 
Unleashed,Boleros Lounge,01/25/2011,Day 2,12:50,13:15,Meet and Greet, , , 
Destruction,Boleros Lounge,01/25/2011,Day 2,13:40,02:05,Meet and Greet, , , 
Nevermore,Boleros Lounge,01/25/2011,Day 2,13:40,14:05,Meet and Greet, , , 
Sanctuary,Boleros Lounge,01/25/2011,Day 2,13:40,14:05,Meet and Greet, , , 
Arsis,Boleros Lounge,01/25/2011,Day 2,14:05,14:30,Meet and Greet, , , 
Marduk,Boleros Lounge,01/25/2011,Day 2,14:05,14:30,Meet and Greet, , , 
Moonspell,Boleros Lounge,01/25/2011,Day 2,15:20,15:45,Meet and Greet, , , 
Obituary,Boleros Lounge,01/25/2011,Day 2,15:20,15:45,Meet and Greet, , , 
Death Angel,Boleros Lounge,01/25/2011,Day 2,15:45,16:10,Meet and Greet, , , 
Cripper,Boleros Lounge,01/25/2011,Day 2,15:45,16:10,Meet and Greet, , , 
Finntroll,Boleros Lounge,01/25/2011,Day 2,16:10,16:35,Meet and Greet, , , 
The Absence,Boleros Lounge,01/25/2011,Day 2,16:10,16:35,Meet and Greet, , , 
Epica,Boleros Lounge,01/25/2011,Day 2,16:35,17:00,Meet and Greet, , , 
Sonata Arctica,Boleros Lounge,01/25/2011,Day 2,17:00,17:25,Meet and Greet, , , 
Fear Factory,Boleros Lounge,01/25/2011,Day 2,17:25,18:00,Meet and Greet, , , 
Karaoke,Boleros Lounge,01/26/2011,Day 2,00:00,04:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Epica,Theater,01/26/2011,Day 3,19:00,20:00,Show, , , 
Fear Factory,Theater,01/26/2011,Day 3,21:00,22:00,Show, , , 
Saxon,Theater,01/26/2011,Day 3,23:00,00:30,Show, , , 
Destruction,Theater,01/27/2011,Day 3,03:15,04:00,Show, , , 
Ensiferum,Theater,01/27/2011,Day 3,01:30,02:30,Show, , , 
Gamma Ray,Pool,01/26/2011,Day 3,20:00,21:00,Show, , , 
Exodus,Pool,01/26/2011,Day 3,22:00,23:00,Show, , , 
Iced Earth,Pool,01/27/2011,Day 3,00:30,01:30,Show, , , 
Marduk,Pool,01/27/2011,Day 3,02:15,03:15,Show, , , 
Cripper,Lounge,01/26/2011,Day 3,19:00,19:45,Show, , , 
Agent Steel,Lounge,01/26/2011,Day 3,20:30,21:15,Show, , , 
Rage,Lounge,01/26/2011,Day 3,22:00,23:00,Show, , , 
Unleashed,Lounge,01/27/2011,Day 3,00:30,01:30,Show, , , 
TYR,Lounge,01/27/2011,Day 3,02:30,03:15,Show, , , 
Open Mic Night,Lounge,01/27/2011,Day 3,03:30,06:00,Special Event, ,, 
Karaoke,Boleros Lounge,01/27/2011,Day 3,00:00,04:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Arsis,Theater,01/27/2011,Day 4,10:45,11:30,Show, , , 
Swashbuckle,Pool,01/27/2011,Day 4,10:00,10:45,Show, , , 
Circle II Circle,Lounge,01/27/2011,Day 4,10:00,10:45,Show, , , 
Sanctuary,Pool,01/27/2011,Day 4,11:30,12:15,Show, , , 
Witch Burner,Lounge,01/27/2011,Day 4,11:30,12:15,Show, , , 
Voivod,Theater,01/27/2011,Day 4,12:15,13:00,Show, , , 
Uli Jon Roth,Pool,01/27/2011,Day 4,13:00,14:00,Show, , , 
The Absence,Lounge,01/27/2011,Day 4,13:00,13:45,Show, , , 
Obituary,Theater,01/27/2011,Day 4,13:45,14:45,Show, , , 
Twilight Of The Gods,Pool,01/27/2011,Day 4,14:45,15:45,Show, , , 
Blackguard,Lounge,01/27/2011,Day 4,14:45,15:30,Show, , , 
Sonata Arctica,Theater,01/27/2011,Day 4,15:30,16:30,Show, , , 
Death Angel,Pool,01/27/2011,Day 4,16:30,17:30,Show, , , 
Raven,Lounge,01/27/2011,Day 4,16:30,17:15,Show, , , 
Dark Tranquillity,Theater,01/27/2011,Day 4,17:15,18:15,Show, , , 
Sabaton,Pool,01/27/2011,Day 4,18:15,19:15,Show, , , 
Trouble,Lounge,01/27/2011,Day 4,18:15,19:00,Show, , , 
Testamnet,Theater,01/27/2011,Day 4,19:00,20:15,Show, , , 
Korpiklaani,Pool,01/27/2011,Day 4,20:00,21:00,Show, , , 
Malevolent Creation,Lounge,01/27/2011,Day 4,20:00,20:45,Show, , , 
Sodom,Theater,01/27/2011,Day 4,21:00,22:00,Show, , , 
Moonspell,Pool,01/27/2011,Day 4,22:00,23:00,Show, , , 
Forbidden,Lounge,01/27/2011,Day 4,22:00,23:00,Show, , , 
Blind Guardian,Theater,01/27/2011,Day 4,23:00,00:30,Show, , , 
Amon Amarth,Pool,01/28/2011,Day 4,00:30,01:45,Show, , , 
Nevermore,Lounge,01/28/2011,Day 4,00:30,01:30,Show, , , 
Finntroll,Theater,01/28/2011,Day 4,01:30,02:30,Show, , , 
Dusk Machine,Lounge,01/28/2011,Day 4,02:30,03:15,Show, , , 
Karaoke,Boleros Lounge,01/28/2011,Day 4,00:00,04:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Blind Guardian,Boleros Lounge,01/27/2011,Day 4,12:00,12:25,Meet and Greet, , , 
Gamma Ray,Boleros Lounge,01/27/2011,Day 4,12:25,12:50,Meet and Greet, , , 
Twilight Of The Gods,Boleros Lounge,01/27/2011,Day 4,12:50,13:15,Meet and Greet, , , 
Forbidden,Boleros Lounge,01/27/2011,Day 4,13:15,13:40,Meet and Greet, , , 
Blackguard,Boleros Lounge,01/27/2011,Day 4,13:15,13:40,Meet and Greet, , , 
Sabaton,Boleros Lounge,01/27/2011,Day 4,13:40,14:05,Meet and Greet, , , 
Swashbuckle,Boleros Lounge,01/27/2011,Day 4,13:40,14:05,Meet and Greet, , , 
Circle II Circle,Boleros Lounge,01/27/2011,Day 4,14:05,14:30,Meet and Greet, , , 
Dark Tranquillity,Boleros Lounge,01/27/2011,Day 4,14:05,14:30,Meet and Greet, , , 
Agent Steel,Boleros Lounge,01/27/2011,Day 4,14:30,14:55,Meet and Greet, , , 
Raven,Boleros Lounge,01/27/2011,Day 4,14:30,14:55,Meet and Greet, , , 
Ensiferum,Boleros Lounge,01/27/2011,Day 4,14:55,15:20,Meet and Greet, , , 
Korpiklaani,Boleros Lounge,01/27/2011,Day 4,14:55,15:20,Meet and Greet, , , 
Sodom,Boleros Lounge,01/27/2011,Day 4,15:20,15:45,Meet and Greet, , , 
TYR,Boleros Lounge,01/27/2011,Day 4,15:45,16:10,Meet and Greet, , , 
Uli Jon Roth,Boleros Lounge,01/27/2011,Day 4,16:10,16:35,Meet and Greet, , , 
Iced Earth,Boleros Lounge,01/27/2011,Day 4,16:35,17:00,Meet and Greet, , , 
Amon Amarth,Boleros Lounge,01/27/2011,Day 4,17:00,17:25,Meet and Greet, , , 
Saxon,Boleros Lounge,01/27/2011,Day 4,17:25,18:00,Meet and Greet, , , 
Finntroll,Pool,01/25/2011,Day 1,02:15,03:15,Show, , , 
Malevolent Creation,Theater,01/25/2011,Day 1,03:15,04:00,Show, , , 
Malevolent Creation,Boleros Lounge,01/25/2011,Day 2,14:30,14:55,Meet and Greet, , , 
Unleashed,Theater,01/25/2011,Day 1,01:30,02:30,Show, , , 
Witch Burner,Lounge,01/25/2011,Day 1,02:30,03:15,Show, , , 
Dusk Machine,Boleros Lounge,01/25/2011,Day 2,14:55,15:20,Meet and Greet, , , 
Trouble,Boleros Lounge,01/25/2011,Day 2,14:55,15:20,Meet and Greet, , , 
Rage,Boleros Lounge,01/27/2011,Day 4,15:20,15:45,Meet and Greet, , , 
Voivod,Boleros Lounge,01/27/2011,Day 4,15:45,16:10,Meet and Greet, , , 
Witch Burner,Boleros Lounge,01/27/2011,Day 4,14:55,15:20,Meet and Greet, , , 
